movieID,specKey,specValue,specLink
VGhlIEZpcnN0IE9tZW4=,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
VGhlIEZpcnN0IE9tZW4=,Aspect ratio,1.85 : 1,
VGhlIEZpcnN0IE9tZW4=,Laboratory,Company 3,
VGhlIEZpcnN0IE9tZW4=,Printed Film Format,35 mm(spherical)D-CinemaDCP Digital Cinema Package (4K),
VGhlIEZpcnN0IE9tZW4=,,,
VGhlIEZpcnN0IE9tZW4=,,,
V2lzaA==,Runtime,1h 35m(95 min),
V2lzaA==,Sound mix,Dolby DigitalDolby AtmosDolby Surround 7.1IMAX 6-TrackDTS(DTS: X)Auro 11.1D-Cinema 96kHz Dolby Surround 7.112-Track Digital SoundDTSSonics-DDP,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
V2lzaA==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
V2lzaA==,Aspect ratio,2.55 : 1,
V2lzaA==,Laboratory,"Technicolor, Hollywood (CA), USA",
V2lzaA==,Negative Format,Codex,
V2lzaA==,Cinematographic Process,"CinemaScopeDigital 3-D(2K, master format)Digital Intermediate (2K) (master format)Dolby Vision",
V2lzaA==,Printed Film Format,D-Cinema(also 3-D version)DCPDCP Digital Cinema PackageDigital(Digital Cinema Package DCP),
V2lzaA==,,,
V2lzaA==,,,
VGhlIFpvbmUgb2YgSW50ZXJlc3Q=,Runtime,1h 45m(105 min),
VGhlIFpvbmUgb2YgSW50ZXJlc3Q=,Sound mix,Dolby Digital,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
